ChannelTitle,VideoTitle,Description,PublishedAt,CategoryId,ViewCount,LikeCount,CommentCount
tvN drama,신혜선과 아이 모두 위험하다?! 청천벽력 같은 말에 무너지는 김정현#철인왕후 | Mr. Queen EP.20 | tvN 210214 방송,"#tvN 토일 드라마 #철인왕후
★매주 토 일 밤 9시 본 방송★

#신혜선 #김정현 #배종옥 #김태우 #설인아 #나인우
불의의 사고로 대한민국 대표 허세남 영혼이 깃들어 '저 세상 텐션'을 갖게 된 중전 김소용과 두 얼굴의 임금 철종 사이에서 벌어지는 영혼가출 스캔들",2021-02-14T12:55:08Z,24,2249812,21082,1507
디글 :Diggle,[#디제이픽] (스걸파) 리정 광대 승천하게 만든 프로급 실력 조나인☺️ 턴즈의 깔끔함과 스퀴드의 유연함이 만들어 낸 오징어게임 퍼포먼스🦑 | #스걸파 #디글,"#스걸파 #디글 #Diggle
취향저격! 당신이 원하던 그 플레이리스트 [#디제이픽😎]  

Let's giggle, :Diggle!
방송국놈들이 덕질하는 채널 '디글'
구독하기 ☞ https://www.youtube.com/c/디글Diggle",2021-12-17T15:43:00Z,24,414305,5914,216
SPOTV,[21/22 PL] 15R 토트넘 vs 노리치 MVP 손흥민,"토트넘 vs 노리치 MVP 손흥민
SPOTV NOW로 H/L 시청하기 (무료) ☞ https://bit.ly/3DoFvDR",2021-12-06T05:00:16Z,17,2319437,18630,2351
VProd LoFi,Starbucks Christmas Songs - 스타벅스 크리스마스 노래 - 가벼운 크리스마스 멜로디 - 크리스마스 분위기에 공부하기 좋은 카페음악 BGM,"Starbucks Christmas Songs - 스타벅스 크리스마스 노래 - 가벼운 크리스마스 멜로디 - 크리스마스 분위기에 공부하기 좋은 카페음악 BGM
..............................
중간광고없는 스타벅스 매장음악 재즈 Best 30곡 과  천천히 배달?되는 커피 플레이 바와 함께 
오늘도 즐거운 하루 되세요~🤗🌿🎈

🎈[구독] [좋아요]는 저에게 큰 힘이됩니다~🙏
https://www.youtube.com/channel/UCu6vrtnZrzYxKzrBSHy_J4g
Thanks for watching my video. If you enjoy it, please SUBSCRIBE, like & share my video. Have a nice day!💖
#스타벅스매장음악2021
#스타벅스매장음악
#스벅매장음악
#스타벅스뮤직컬렉션
#광고없는스타벅스매장음악",2021-11-25T21:00:08Z,10,180225,1418,35
tvN D ENT,신서유기 레전드 없대요? 아뇨 여기 있대요 | #유물발굴단_신서유기,"#신서유기 #유물발굴단 #Diggle 
02:42 신서유기 웃참
07:15 ........ 업데...없대요...? 
07:55 언지원
10:13 tvN 기둥뽑는 송가락 
12:25 내 사랑 김상숭?  
14:14 대한민국 최초 방귀 튼 아이돌 
14:40 아무말 대잔치 

🔮믿고 웃는 신서유기 모음집🔮
1. 신서유기 아무말 대잔치 https://youtu.be/3wYxVwtZ4s0
2. 신서유기 이수근 레전드 https://youtu.be/vbPjjZKVXLQ",2018-09-29T13:15:19Z,24,17745747,78935,3334
디글 클래식 :Diggle Classic,이상준 왜케 여잘알이야ㅋㅋㅋ;; 여자들도 반박불가한 내숭 5대장ㅣ#코미디빅리그 160417 #02,"#티비냥 #코미디빅리그 #오지라퍼
구작이 명작인 tvN 맛집의 콘텐츠를 마음껏 볼 수 있는 tvN D CLASSIC : https://bit.ly/2PoHd0B

tvN [코미디빅리그] : 대한민국 웃음의 대세 '코미디빅리그'. 대세 '코미디언'들의 웃음 사냥을 위한 치열한 코너 경쟁은 계속된다!
공식 홈페이지 : http://program.tving.com/tvn/cobig",2019-10-10T03:00:01Z,24,3093337,12820,1311
침착맨,진짜 나와버린 철면수심 차돌짬뽕,"👨‍🍳침착맨의 【쿡방】 영상 재생목록: https://www.youtube.com/playlist?list=PLif_jr7pPZACEQ8CWYYcC2GDDqsJ2icOv

▶2021년 12월 15일 방송분
(https://youtu.be/vhQxED438ok)

▶편집: 7호 침투부수호자
▶썸네일: 2호 침투부수호자

#침착맨 #철면수심 #차돌짬뽕",2021-12-18T10:00:32Z,24,642516,9614,846
김재원의 즐거운 세상,스쿨존의 위험성을 알려주는 게임ㅋㅋㅋㅋㅋ,"#김재원 #병맛게임 #스쿨존을뚫어라
김재원 방송 https://www.twitch.tv/jaewon4915
김재원 메일 wodnjs2601@naver.com  (사담 X)
구독 눌러주시고 알람해주시면
더 빠르게 제영상을 보실수있당가요
📢BGM
✔️Track - Tom Carver - Put It Down
✔️Soundcloud - https://soundcloud.com/tomcarverofficial
✔️나눔뮤직 - https://tv.naver.com/v/11875603",2021-12-05T07:00:03Z,20,251620,5003,472
JTBC Voyage,[골라봐야지] 😭눈물주의😭 심사위원 울컥하게 만든 싱어게인(singagain) 무대 모음 | 싱어게인 | JTBC 210104 방송 외,"눈물나게 감동적인 무대들..
다들 감상하고 가셔요◡‿◡

#싱어게인#감동#눈물#무대

[JTBC봐야지] 구독하기☞ http://asq.kr/VgFZ3

------------------------------------------------------
* 영상 속 프로그램은?

【싱어게인】
http://tv.jtbc.joins.com/singagain
------------------------------------------------------",2021-02-24T09:44:43Z,24,1039666,5313,205
SBS Entertainment,[찜꽁습꽁💖] 워너비 부부💏 결혼 7년차 '김무열♥윤승아' 첫 만남부터 결혼 풀스토리ㅣ동상이몽2 - 너는 내 운명(Dong Sang 2)ㅣSBS ENTER.,"편집자가 찜꽁한 동상이몽2 속 김무열♥윤승아 부부

#동상이몽2 #김무열 #윤승아

▶ Hompage : https://www.sbs.co.kr/tv/enter
▶ Subscribe SBS Entertainment : https://bit.ly/2SpOhMC",2021-12-16T01:30:02Z,24,1936651,12216,681
